x1,x2,x3,hexID
0.0,0.0,0.0,871f1d4d0ffffff
0.0,0.0,0.0,871f1d48affffff
0.0,0.0,0.0,871f1d48effffff
5.0,0.0,0.0,871f1d499ffffff
0.0,0.0,0.0,871f18b25ffffff
4.0,0.0,0.0,871f1d4f0ffffff
0.0,0.0,0.0,871f1d4d2ffffff
0.0,0.0,0.0,871f1d49bffffff
0.0,0.0,0.0,871f1d49dffffff
5.0,0.0,0.0,871f1d483ffffff
0.0,0.0,0.0,871f1d4d4ffffff
0.0,0.0,0.0,871f1d488ffffff
2.0,0.0,0.0,871f18b34ffffff
2.0,0.0,0.0,871f1d489ffffff
0.0,0.0,0.0,871f18b0dffffff
3.0,0.0,0.0,871f18b35ffffff
24.0,0.0,0.0,871f18b26ffffff
10.0,0.0,0.0,871f18b2effffff
5.0,0.0,0.0,871f18b21ffffff
9.0,0.0,0.0,871f18b20ffffff
22.0,0.0,0.0,871f1d48bffffff
7.0,0.0,0.0,871f1d4f4ffffff
0.0,0.0,0.0,871f1d48dffffff
1.0,0.0,0.0,871f1d4f6ffffff
5.0,0.0,0.0,871f1d482ffffff
0.0,0.0,0.0,871f18b2cffffff
9.0,0.0,0.0,871f1d4d6ffffff
1.0,0.0,0.0,871f1d4d1ffffff
3.0,0.0,0.0,871f1d4aaffffff
9.0,0.0,0.0,871f1d4d5ffffff
12.0,0.0,0.0,871f1d4abffffff
0.0,0.0,0.0,871f1886bffffff
0.0,0.0,0.0,871f1d4f2ffffff
0.0,0.0,0.0,871f1d486ffffff
0.0,0.0,0.0,871f1d498ffffff
0.0,0.0,0.0,871f1d4a8ffffff
0.0,0.0,0.0,871f1d4a9ffffff
0.0,0.0,0.0,871f18b22ffffff
3.0,0.0,0.0,871f18b30ffffff
3.0,0.0,0.0,871f1d4c2ffffff
13.0,0.0,0.0,871f1d49affffff
9.0,0.0,0.0,871f18b24ffffff
0.0,0.0,0.0,871f18b23ffffff
1.0,0.0,0.0,871f1d4f3ffffff
9.0,0.0,0.0,871f1d48cffffff
20.0,0.0,0.0,871f1d4daffffff
10.0,0.0,0.0,871f1d4d3ffffff
9.0,0.0,0.0,871f1d4b0ffffff
17.0,0.0,0.0,871f1d4deffffff
16.0,0.0,0.0,871f1d485ffffff
14.0,0.0,0.0,871f1d4b2ffffff
0.0,0.0,0.0,871f18b04ffffff
1.0,0.0,0.0,871f1d49cffffff
0.0,0.0,0.0,871f1d49effffff
19.0,0.0,0.0,871f1d4b1ffffff
21.0,0.0,0.0,871f1d4dcffffff
3.0,0.0,0.0,871f1d4aeffffff
16.0,0.0,0.0,871f18869ffffff
8.0,0.0,0.0,871f18b29ffffff
12.0,0.0,0.0,871f1d4f1ffffff
2.0,0.0,0.0,871f18841ffffff
0.0,0.0,0.0,871f1d480ffffff
0.0,0.0,0.0,871f1d481ffffff
5.0,0.0,0.0,871f18b72ffffff
6.0,0.0,0.0,871f18b0bffffff
6.0,0.0,0.0,871f18b31ffffff
15.0,0.0,0.0,871f1d4b3ffffff
0.0,0.0,0.0,871f18b2dffffff
0.0,0.0,0.0,871f1d494ffffff
8.0,0.0,0.0,871f18b36ffffff
6.0,0.0,0.0,871f1d4c6ffffff
0.0,0.0,0.0,871f1d4ddffffff
0.0,0.0,0.0,871f18b05ffffff
1.0,0.0,0.0,871f1d4acffffff
0.0,0.0,0.0,871f18840ffffff
0.0,0.0,0.0,871f18b02ffffff
1.0,0.0,0.0,871f1d4d8ffffff
0.0,0.0,0.0,871f18b06ffffff
1.0,0.0,0.0,871f18b64ffffff
34.0,0.0,0.0,871f1d4b5ffffff
9.0,0.0,0.0,871f1d4a1ffffff
17.0,0.0,0.0,871f1d4a3ffffff
4.0,0.0,0.0,871f1d413ffffff
18.0,0.0,0.0,871f1d41bffffff
5.0,0.0,0.0,871f18b76ffffff
19.0,0.0,0.0,871f1d495ffffff
0.0,0.0,0.0,871f1896bffffff
4.0,0.0,0.0,871f1d491ffffff
1.0,0.0,0.0,871f18b01ffffff
0.0,0.0,0.0,871f1d4adffffff
2.0,0.0,0.0,871f18868ffffff
4.0,0.0,0.0,871f1d4c4ffffff
0.0,0.0,0.0,871f18b11ffffff
21.0,0.0,0.0,871f1d4c0ffffff
4.0,0.0,0.0,871f18b28ffffff
3.0,0.0,0.0,871f18b71ffffff
18.0,0.0,0.0,871f1886affffff
