x1,x2,x3
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,4.0,0.0
0.0,0.0,0.0
-0.0,3.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,4.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-0.0,2.0,0.0
0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,19.999999999999996,0.0
0.0,9.999999999999998,0.0
-0.0,1.0,0.0
0.0,11.0,0.0
0.0,14.0,0.0
0.0,3.9999999999999996,0.0
0.0,0.0,0.0
-0.0,0.0,0.0
0.0,4.999999999999999,0.0
-0.0,0.9999999999999999,0.0
-0.0,5.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-0.0,12.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,4.0,0.0
0.0,3.9999999999999996,0.0
0.0,12.0,0.0
-0.0,0.0,0.0
0.0,0.0,0.0
0.0,2.9999999999999996,0.0
0.0,13.999999999999998,0.0
0.0,10.0,0.0
0.0,7.999999999999999,0.0
-0.0,9.0,0.0
0.0,9.999999999999998,0.0
0.0,12.999999999999996,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,11.999999999999998,0.0
0.0,18.0,0.0
0.0,3.0,0.0
0.0,15.999999999999998,0.0
0.0,7.0,0.0
0.0,11.999999999999998,0.0
-0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,6.0,0.0
0.0,1.9999999999999998,0.0
0.0,5.0,0.0
0.0,11.999999999999998,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-0.0,1.0,0.0
-0.0,2.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-0.0,1.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,23.999999999999996,0.0
-0.0,8.0,0.0
0.0,18.0,0.0
-0.0,4.999999999999999,0.0
0.0,18.0,0.0
0.0,5.0,0.0
0.0,17.0,0.0
0.0,0.0,0.0
-0.0,4.0,0.0
0.0,0.0,0.0
0.0,1.0,0.0
-0.0,1.9999999999999998,0.0
0.0,3.0,0.0
0.0,0.0,0.0
0.0,21.999999999999996,0.0
-0.0,4.999999999999999,0.0
-0.0,0.0,0.0
0.0,14.0,0.0
